90	殷富門院大輔	見せばやな 雄島のあまの 袖だにも	ぬれにぞぬれし 色はかはらず	みせばやなをじまのあまのそでだにも	ぬれにぞぬれしいろはかはらず
91	後京極摂政前太政大臣	きりぎりす 鳴くや霜夜の さむしろに	衣かたしき ひとりかも寝む	きりぎりすなくやしもよのさむしろに	ころもかたしきひとりかもねむ
92	二条院讃岐	わが袖は 潮干に見えぬ 沖の石の	人こそ知らね 乾く間もなし	わがそではしほひにみえぬおきのいしの	ひとこそしらねかわくまもなし
93	鎌倉右大臣	世の中は 常にもがもな 渚こぐ	あまの小舟の 綱手かなしも	よのなかはつねにもがもななぎさこぐ	あまのをぶねのつなでかなしも
94	参議雅経	み吉野の 山の秋風 さ夜ふけて	ふるさと寒く 衣うつなり	みよしののやまのあきかぜさよふけて	ふるさとさむくころもうつなり
95	前大僧正慈円	おほけなく うき世の民に おほふかな	わが立つ杣に 墨染の袖	おほけなくうきよのたみにおほふかな	わがたつそまにすみぞめのそで
96	入道前太政大臣	花さそふ 嵐の庭の 雪ならで	ふりゆくものは わが身なりけり	はなさそふあらしのにはのゆきならで	ふりゆくものはわがみなりけり
97	権中納言定家	来ぬ人を まつほの浦の 夕なぎに	焼くや藻塩の 身もこがれつつ	こぬひとをまつほのうらのゆふなぎに	やくやもしほのみもこがれつつ
98	従二位家隆	風そよぐ ならの小川の 夕暮は	みそぎぞ夏の しるしなりける	かぜそよぐならのをがはのゆふぐれは	みそぎぞなつのしるしなりける
99	後鳥羽院	人もをし 人もうらめし あぢきなく	世を思ふゆゑに もの思ふ身は	ひともをしひともうらめしあぢきなく	よをおもふゆゑにものおもふみは
100	順徳院	ももしきや 古き軒端の しのぶにも	なほあまりある 昔なりけり	ももしきやふるきのきばのしのぶにも	なほあまりあるむかしなりけり
